eternam: pretrained-bert-rand1: 0.9986, pretrained-bert-rand2: 0.9988, pretrained-bert-rand3: 0.9976, finetuned-bert: 0.7805, pretrained-bert-20: 0.7695
dies: pretrained-bert-rand1: 0.9980, pretrained-bert-rand2: 0.9975, pretrained-bert-rand3: 0.9933, finetuned-bert: 0.8778, pretrained-bert-20: 0.9413
ipsius: pretrained-bert-rand1: 0.9989, pretrained-bert-rand2: 0.9988, pretrained-bert-rand3: 0.9980, finetuned-bert: 0.9227, pretrained-bert-20: 0.9414
quamdiu: pretrained-bert-rand1: 0.9960, pretrained-bert-rand2: 0.9972, pretrained-bert-rand3: 0.9969, finetuned-bert: 0.9332, pretrained-bert-20: 0.9415
ante: pretrained-bert-rand1: 0.9986, pretrained-bert-rand2: 0.9982, pretrained-bert-rand3: 0.9985, finetuned-bert: 0.9045, pretrained-bert-20: 0.9418
nostrorum: pretrained-bert-rand1: 0.9973, pretrained-bert-rand2: 0.9974, pretrained-bert-rand3: 0.9983, finetuned-bert: 0.9383, pretrained-bert-20: 0.9418
i: pretrained-bert-rand1: 0.9906, pretrained-bert-rand2: 0.9938, pretrained-bert-rand3: 0.9946, finetuned-bert: 0.9354, pretrained-bert-20: 0.9420
meum: pretrained-bert-rand1: 0.9988, pretrained-bert-rand2: 0.9982, pretrained-bert-rand3: 0.9983, finetuned-bert: 0.9178, pretrained-bert-20: 0.9420
sancto: pretrained-bert-rand1: 0.9992, pretrained-bert-rand2: 0.9988, pretrained-bert-rand3: 0.9990, finetuned-bert: 0.9409, pretrained-bert-20: 0.9421
xii: pretrained-bert-rand1: 0.9938, pretrained-bert-rand2: 0.9979, pretrained-bert-rand3: 0.9971, finetuned-bert: 0.8931, pretrained-bert-20: 0.9423
hominibus: pretrained-bert-rand1: 0.9986, pretrained-bert-rand2: 0.9978, pretrained-bert-rand3: 0.9984, finetuned-bert: 0.9360, pretrained-bert-20: 0.9424
firmiter: pretrained-bert-rand1: 0.9988, pretrained-bert-rand2: 0.9991, pretrained-bert-rand3: 0.9983, finetuned-bert: 0.9207, pretrained-bert-20: 0.9427
sita: pretrained-bert-rand1: 0.9926, pretrained-bert-rand2: 0.9921, pretrained-bert-rand3: 0.9954, finetuned-bert: 0.9522, pretrained-bert-20: 0.9428
nostra: pretrained-bert-rand1: 0.9993, pretrained-bert-rand2: 0.9993, pretrained-bert-rand3: 0.9993, finetuned-bert: 0.9405, pretrained-bert-20: 0.9429
filius: pretrained-bert-rand1: 0.9991, pretrained-bert-rand2: 0.9987, pretrained-bert-rand3: 0.9983, finetuned-bert: 0.9148, pretrained-bert-20: 0.9429
ne: pretrained-bert-rand1: 0.9988, pretrained-bert-rand2: 0.9978, pretrained-bert-rand3: 0.9994, finetuned-bert: 0.9137, pretrained-bert-20: 0.9430
iii: pretrained-bert-rand1: 0.9970, pretrained-bert-rand2: 0.9941, pretrained-bert-rand3: 0.9963, finetuned-bert: 0.9108, pretrained-bert-20: 0.9435
sancti: pretrained-bert-rand1: 0.9997, pretrained-bert-rand2: 0.9997, pretrained-bert-rand3: 0.9998, finetuned-bert: 0.9471, pretrained-bert-20: 0.9436
similiter: pretrained-bert-rand1: 0.9968, pretrained-bert-rand2: 0.9972, pretrained-bert-rand3: 0.9975, finetuned-bert: 0.9607, pretrained-bert-20: 0.9437
idem: pretrained-bert-rand1: 0.9977, pretrained-bert-rand2: 0.9976, pretrained-bert-rand3: 0.9982, finetuned-bert: 0.9389, pretrained-bert-20: 0.9438
quandam: pretrained-bert-rand1: 0.9964, pretrained-bert-rand2: 0.9968, pretrained-bert-rand3: 0.9953, finetuned-bert: 0.9233, pretrained-bert-20: 0.9440
duas: pretrained-bert-rand1: 0.9976, pretrained-bert-rand2: 0.9973, pretrained-bert-rand3: 0.9981, finetuned-bert: 0.9630, pretrained-bert-20: 0.9440
donationem: pretrained-bert-rand1: 0.9985, pretrained-bert-rand2: 0.9990, pretrained-bert-rand3: 0.9980, finetuned-bert: 0.9224, pretrained-bert-20: 0.9443
totius: pretrained-bert-rand1: 0.9982, pretrained-bert-rand2: 0.9990, pretrained-bert-rand3: 0.9990, finetuned-bert: 0.9131, pretrained-bert-20: 0.9448
quibus: pretrained-bert-rand1: 0.9990, pretrained-bert-rand2: 0.9983, pretrained-bert-rand3: 0.9981, finetuned-bert: 0.9523, pretrained-bert-20: 0.9451
auctoritate: pretrained-bert-rand1: 0.9986, pretrained-bert-rand2: 0.9993, pretrained-bert-rand3: 0.9992, finetuned-bert: 0.9433, pretrained-bert-20: 0.9452
x: pretrained-bert-rand1: 0.9988, pretrained-bert-rand2: 0.9982, pretrained-bert-rand3: 0.9981, finetuned-bert: 0.9364, pretrained-bert-20: 0.9455
mea: pretrained-bert-rand1: 0.9994, pretrained-bert-rand2: 0.9990, pretrained-bert-rand3: 0.9989, finetuned-bert: 0.9417, pretrained-bert-20: 0.9458
aliquis: pretrained-bert-rand1: 0.9987, pretrained-bert-rand2: 0.9985, pretrained-bert-rand3: 0.9986, finetuned-bert: 0.9393, pretrained-bert-20: 0.9461
absque: pretrained-bert-rand1: 0.9971, pretrained-bert-rand2: 0.9969, pretrained-bert-rand3: 0.9960, finetuned-bert: 0.9550, pretrained-bert-20: 0.9463
habeat: pretrained-bert-rand1: 0.9980, pretrained-bert-rand2: 0.9971, pretrained-bert-rand3: 0.9982, finetuned-bert: 0.9312, pretrained-bert-20: 0.9463
mortem: pretrained-bert-rand1: 0.9940, pretrained-bert-rand2: 0.9964, pretrained-bert-rand3: 0.9949, finetuned-bert: 0.9193, pretrained-bert-20: 0.9464
re: pretrained-bert-rand1: 0.9939, pretrained-bert-rand2: 0.9885, pretrained-bert-rand3: 0.9879, finetuned-bert: 0.9382, pretrained-bert-20: 0.9464
cunctis: pretrained-bert-rand1: 0.9949, pretrained-bert-rand2: 0.9943, pretrained-bert-rand3: 0.9943, finetuned-bert: 0.9257, pretrained-bert-20: 0.9465
lx: pretrained-bert-rand1: 0.9886, pretrained-bert-rand2: 0.9944, pretrained-bert-rand3: 0.9906, finetuned-bert: 0.9181, pretrained-bert-20: 0.9465
excepto: pretrained-bert-rand1: 0.9938, pretrained-bert-rand2: 0.9957, pretrained-bert-rand3: 0.9943, finetuned-bert: 0.9080, pretrained-bert-20: 0.9466
sui: pretrained-bert-rand1: 0.9993, pretrained-bert-rand2: 0.9992, pretrained-bert-rand3: 0.9993, finetuned-bert: 0.9171, pretrained-bert-20: 0.9466
pratis: pretrained-bert-rand1: 0.9989, pretrained-bert-rand2: 0.9989, pretrained-bert-rand3: 0.9967, finetuned-bert: 0.9268, pretrained-bert-20: 0.9467
mei: pretrained-bert-rand1: 0.9994, pretrained-bert-rand2: 0.9996, pretrained-bert-rand3: 0.9992, finetuned-bert: 0.9313, pretrained-bert-20: 0.9468
omnia: pretrained-bert-rand1: 0.9993, pretrained-bert-rand2: 0.9994, pretrained-bert-rand3: 0.9990, finetuned-bert: 0.9504, pretrained-bert-20: 0.9469
dimidiam: pretrained-bert-rand1: 0.9981, pretrained-bert-rand2: 0.9953, pretrained-bert-rand3: 0.9983, finetuned-bert: 0.9549, pretrained-bert-20: 0.9470
anime: pretrained-bert-rand1: 0.9987, pretrained-bert-rand2: 0.9989, pretrained-bert-rand3: 0.9979, finetuned-bert: 0.9576, pretrained-bert-20: 0.9473
uocatur: pretrained-bert-rand1: 0.9973, pretrained-bert-rand2: 0.9975, pretrained-bert-rand3: 0.9925, finetuned-bert: 0.9666, pretrained-bert-20: 0.9473
nobis: pretrained-bert-rand1: 0.9993, pretrained-bert-rand2: 0.9994, pretrained-bert-rand3: 0.9991, finetuned-bert: 0.9403, pretrained-bert-20: 0.9474
suis: pretrained-bert-rand1: 0.9998, pretrained-bert-rand2: 0.9997, pretrained-bert-rand3: 0.9998, finetuned-bert: 0.9212, pretrained-bert-20: 0.9474
ipsi: pretrained-bert-rand1: 0.9987, pretrained-bert-rand2: 0.9975, pretrained-bert-rand3: 0.9976, finetuned-bert: 0.9370, pretrained-bert-20: 0.9475
fratribus: pretrained-bert-rand1: 0.9963, pretrained-bert-rand2: 0.9985, pretrained-bert-rand3: 0.9974, finetuned-bert: 0.9390, pretrained-bert-20: 0.9477
bona: pretrained-bert-rand1: 0.9925, pretrained-bert-rand2: 0.9967, pretrained-bert-rand3: 0.9944, finetuned-bert: 0.9288, pretrained-bert-20: 0.9481
ii: pretrained-bert-rand1: 0.9985, pretrained-bert-rand2: 0.9958, pretrained-bert-rand3: 0.9967, finetuned-bert: 0.9210, pretrained-bert-20: 0.9482
unum: pretrained-bert-rand1: 0.9983, pretrained-bert-rand2: 0.9982, pretrained-bert-rand3: 0.9978, finetuned-bert: 0.9500, pretrained-bert-20: 0.9482
contra: pretrained-bert-rand1: 0.9988, pretrained-bert-rand2: 0.9978, pretrained-bert-rand3: 0.9976, finetuned-bert: 0.9219, pretrained-bert-20: 0.9483
modo: pretrained-bert-rand1: 0.9963, pretrained-bert-rand2: 0.9982, pretrained-bert-rand3: 0.9979, finetuned-bert: 0.9440, pretrained-bert-20: 0.9484
eorum: pretrained-bert-rand1: 0.9994, pretrained-bert-rand2: 0.9990, pretrained-bert-rand3: 0.9995, finetuned-bert: 0.9245, pretrained-bert-20: 0.9484
parte: pretrained-bert-rand1: 0.9983, pretrained-bert-rand2: 0.9987, pretrained-bert-rand3: 0.9988, finetuned-bert: 0.9466, pretrained-bert-20: 0.9485
uoluerit: pretrained-bert-rand1: 0.9985, pretrained-bert-rand2: 0.9977, pretrained-bert-rand3: 0.9983, finetuned-bert: 0.9300, pretrained-bert-20: 0.9485
tantum: pretrained-bert-rand1: 0.9951, pretrained-bert-rand2: 0.9945, pretrained-bert-rand3: 0.9972, finetuned-bert: 0.9392, pretrained-bert-20: 0.9486
nec: pretrained-bert-rand1: 0.9987, pretrained-bert-rand2: 0.9988, pretrained-bert-rand3: 0.9992, finetuned-bert: 0.9603, pretrained-bert-20: 0.9486
regis: pretrained-bert-rand1: 0.9998, pretrained-bert-rand2: 0.9998, pretrained-bert-rand3: 0.9997, finetuned-bert: 0.9005, pretrained-bert-20: 0.9491
ipsum: pretrained-bert-rand1: 0.9975, pretrained-bert-rand2: 0.9975, pretrained-bert-rand3: 0.9968, finetuned-bert: 0.9471, pretrained-bert-20: 0.9493
perpetuo: pretrained-bert-rand1: 0.9978, pretrained-bert-rand2: 0.9972, pretrained-bert-rand3: 0.9981, finetuned-bert: 0.9418, pretrained-bert-20: 0.9495
eidem: pretrained-bert-rand1: 0.9983, pretrained-bert-rand2: 0.9994, pretrained-bert-rand3: 0.9989, finetuned-bert: 0.9362, pretrained-bert-20: 0.9496
nostram: pretrained-bert-rand1: 0.9989, pretrained-bert-rand2: 0.9982, pretrained-bert-rand3: 0.9984, finetuned-bert: 0.9157, pretrained-bert-20: 0.9497
huius: pretrained-bert-rand1: 0.9991, pretrained-bert-rand2: 0.9993, pretrained-bert-rand3: 0.9992, finetuned-bert: 0.9175, pretrained-bert-20: 0.9497
meo: pretrained-bert-rand1: 0.9995, pretrained-bert-rand2: 0.9994, pretrained-bert-rand3: 0.9974, finetuned-bert: 0.9334, pretrained-bert-20: 0.9498
hec: pretrained-bert-rand1: 0.9998, pretrained-bert-rand2: 0.9997, pretrained-bert-rand3: 0.9997, finetuned-bert: 0.9279, pretrained-bert-20: 0.9500
iam: pretrained-bert-rand1: 0.9962, pretrained-bert-rand2: 0.9973, pretrained-bert-rand3: 0.9967, finetuned-bert: 0.9376, pretrained-bert-20: 0.9503
quorum: pretrained-bert-rand1: 0.9990, pretrained-bert-rand2: 0.9990, pretrained-bert-rand3: 0.9985, finetuned-bert: 0.9102, pretrained-bert-20: 0.9503
exceptis: pretrained-bert-rand1: 0.9981, pretrained-bert-rand2: 0.9984, pretrained-bert-rand3: 0.9977, finetuned-bert: 0.9065, pretrained-bert-20: 0.9504
uidelicet: pretrained-bert-rand1: 0.9992, pretrained-bert-rand2: 0.9993, pretrained-bert-rand3: 0.9992, finetuned-bert: 0.9213, pretrained-bert-20: 0.9505
omnes: pretrained-bert-rand1: 0.9994, pretrained-bert-rand2: 0.9996, pretrained-bert-rand3: 0.9994, finetuned-bert: 0.9454, pretrained-bert-20: 0.9506
scilicet: pretrained-bert-rand1: 0.9997, pretrained-bert-rand2: 0.9997, pretrained-bert-rand3: 0.9997, finetuned-bert: 0.9257, pretrained-bert-20: 0.9509
eandem: pretrained-bert-rand1: 0.9982, pretrained-bert-rand2: 0.9987, pretrained-bert-rand3: 0.9978, finetuned-bert: 0.9515, pretrained-bert-20: 0.9513
ipsis: pretrained-bert-rand1: 0.9966, pretrained-bert-rand2: 0.9972, pretrained-bert-rand3: 0.9979, finetuned-bert: 0.9415, pretrained-bert-20: 0.9515
inter: pretrained-bert-rand1: 0.9997, pretrained-bert-rand2: 0.9997, pretrained-bert-rand3: 0.9994, finetuned-bert: 0.9195, pretrained-bert-20: 0.9516
meam: pretrained-bert-rand1: 0.9987, pretrained-bert-rand2: 0.9987, pretrained-bert-rand3: 0.9992, finetuned-bert: 0.9017, pretrained-bert-20: 0.9518
omni: pretrained-bert-rand1: 0.9995, pretrained-bert-rand2: 0.9997, pretrained-bert-rand3: 0.9995, finetuned-bert: 0.9515, pretrained-bert-20: 0.9519
sua: pretrained-bert-rand1: 0.9991, pretrained-bert-rand2: 0.9993, pretrained-bert-rand3: 0.9992, finetuned-bert: 0.9375, pretrained-bert-20: 0.9519
igitur: pretrained-bert-rand1: 0.9988, pretrained-bert-rand2: 0.9987, pretrained-bert-rand3: 0.9985, finetuned-bert: 0.9374, pretrained-bert-20: 0.9520
signo: pretrained-bert-rand1: 0.9977, pretrained-bert-rand2: 0.9973, pretrained-bert-rand3: 0.9976, finetuned-bert: 0.9445, pretrained-bert-20: 0.9520
prefate: pretrained-bert-rand1: 0.9971, pretrained-bert-rand2: 0.9970, pretrained-bert-rand3: 0.9971, finetuned-bert: 0.9262, pretrained-bert-20: 0.9521
nostre: pretrained-bert-rand1: 0.9987, pretrained-bert-rand2: 0.9985, pretrained-bert-rand3: 0.9983, finetuned-bert: 0.9209, pretrained-bert-20: 0.9521
fidelium: pretrained-bert-rand1: 0.9945, pretrained-bert-rand2: 0.9946, pretrained-bert-rand3: 0.9960, finetuned-bert: 0.9499, pretrained-bert-20: 0.9523
iiii: pretrained-bert-rand1: 0.9984, pretrained-bert-rand2: 0.9950, pretrained-bert-rand3: 0.9980, finetuned-bert: 0.9340, pretrained-bert-20: 0.9523
suam: pretrained-bert-rand1: 0.9988, pretrained-bert-rand2: 0.9990, pretrained-bert-rand3: 0.9990, finetuned-bert: 0.9418, pretrained-bert-20: 0.9525
eadem: pretrained-bert-rand1: 0.9992, pretrained-bert-rand2: 0.9994, pretrained-bert-rand3: 0.9987, finetuned-bert: 0.9376, pretrained-bert-20: 0.9526
beati: pretrained-bert-rand1: 0.9968, pretrained-bert-rand2: 0.9968, pretrained-bert-rand3: 0.9982, finetuned-bert: 0.9582, pretrained-bert-20: 0.9530
preter: pretrained-bert-rand1: 0.9983, pretrained-bert-rand2: 0.9984, pretrained-bert-rand3: 0.9986, finetuned-bert: 0.9361, pretrained-bert-20: 0.9532
temporibus: pretrained-bert-rand1: 0.9950, pretrained-bert-rand2: 0.9957, pretrained-bert-rand3: 0.9976, finetuned-bert: 0.9369, pretrained-bert-20: 0.9532
uobis: pretrained-bert-rand1: 0.9979, pretrained-bert-rand2: 0.9978, pretrained-bert-rand3: 0.9961, finetuned-bert: 0.9484, pretrained-bert-20: 0.9533
meus: pretrained-bert-rand1: 0.9988, pretrained-bert-rand2: 0.9981, pretrained-bert-rand3: 0.9987, finetuned-bert: 0.9595, pretrained-bert-20: 0.9535
sit: pretrained-bert-rand1: 0.9990, pretrained-bert-rand2: 0.9995, pretrained-bert-rand3: 0.9988, finetuned-bert: 0.9242, pretrained-bert-20: 0.9536
sue: pretrained-bert-rand1: 0.9988, pretrained-bert-rand2: 0.9982, pretrained-bert-rand3: 0.9993, finetuned-bert: 0.9330, pretrained-bert-20: 0.9536
fratrum: pretrained-bert-rand1: 0.9966, pretrained-bert-rand2: 0.9961, pretrained-bert-rand3: 0.9975, finetuned-bert: 0.9431, pretrained-bert-20: 0.9538
quoniam: pretrained-bert-rand1: 0.9952, pretrained-bert-rand2: 0.9946, pretrained-bert-rand3: 0.9937, finetuned-bert: 0.9508, pretrained-bert-20: 0.9540
loco: pretrained-bert-rand1: 0.9994, pretrained-bert-rand2: 0.9990, pretrained-bert-rand3: 0.9989, finetuned-bert: 0.9315, pretrained-bert-20: 0.9541
tali: pretrained-bert-rand1: 0.9964, pretrained-bert-rand2: 0.9940, pretrained-bert-rand3: 0.9920, finetuned-bert: 0.9269, pretrained-bert-20: 0.9542
nos: pretrained-bert-rand1: 0.9995, pretrained-bert-rand2: 0.9996, pretrained-bert-rand3: 0.9996, finetuned-bert: 0.9403, pretrained-bert-20: 0.9543
ipse: pretrained-bert-rand1: 0.9987, pretrained-bert-rand2: 0.9991, pretrained-bert-rand3: 0.9991, finetuned-bert: 0.9385, pretrained-bert-20: 0.9545
partem: pretrained-bert-rand1: 0.9985, pretrained-bert-rand2: 0.9986, pretrained-bert-rand3: 0.9975, finetuned-bert: 0.9377, pretrained-bert-20: 0.9545
presumpserit: pretrained-bert-rand1: 0.9957, pretrained-bert-rand2: 0.9904, pretrained-bert-rand3: 0.9960, finetuned-bert: 0.9518, pretrained-bert-20: 0.9546
diebus: pretrained-bert-rand1: 0.9944, pretrained-bert-rand2: 0.9930, pretrained-bert-rand3: 0.9938, finetuned-bert: 0.9429, pretrained-bert-20: 0.9546
quem: pretrained-bert-rand1: 0.9971, pretrained-bert-rand2: 0.9979, pretrained-bert-rand3: 0.9957, finetuned-bert: 0.9373, pretrained-bert-20: 0.9547
ipso: pretrained-bert-rand1: 0.9962, pretrained-bert-rand2: 0.9972, pretrained-bert-rand3: 0.9966, finetuned-bert: 0.9430, pretrained-bert-20: 0.9547
sancta: pretrained-bert-rand1: 0.9924, pretrained-bert-rand2: 0.9955, pretrained-bert-rand3: 0.9937, finetuned-bert: 0.9453, pretrained-bert-20: 0.9548
causa: pretrained-bert-rand1: 0.9946, pretrained-bert-rand2: 0.9953, pretrained-bert-rand3: 0.9967, finetuned-bert: 0.9433, pretrained-bert-20: 0.9549
rebus: pretrained-bert-rand1: 0.9976, pretrained-bert-rand2: 0.9980, pretrained-bert-rand3: 0.9984, finetuned-bert: 0.9512, pretrained-bert-20: 0.9550
eam: pretrained-bert-rand1: 0.9993, pretrained-bert-rand2: 0.9992, pretrained-bert-rand3: 0.9990, finetuned-bert: 0.9548, pretrained-bert-20: 0.9551
honore: pretrained-bert-rand1: 0.9961, pretrained-bert-rand2: 0.9961, pretrained-bert-rand3: 0.9948, finetuned-bert: 0.9521, pretrained-bert-20: 0.9551
deo: pretrained-bert-rand1: 0.9996, pretrained-bert-rand2: 0.9994, pretrained-bert-rand3: 0.9998, finetuned-bert: 0.9247, pretrained-bert-20: 0.9552
quis: pretrained-bert-rand1: 0.9989, pretrained-bert-rand2: 0.9985, pretrained-bert-rand3: 0.9982, finetuned-bert: 0.9471, pretrained-bert-20: 0.9553
suo: pretrained-bert-rand1: 0.9990, pretrained-bert-rand2: 0.9984, pretrained-bert-rand3: 0.9994, finetuned-bert: 0.9370, pretrained-bert-20: 0.9555
propter: pretrained-bert-rand1: 0.9970, pretrained-bert-rand2: 0.9976, pretrained-bert-rand3: 0.9961, finetuned-bert: 0.9366, pretrained-bert-20: 0.9557
libera: pretrained-bert-rand1: 0.9985, pretrained-bert-rand2: 0.9983, pretrained-bert-rand3: 0.9977, finetuned-bert: 0.9315, pretrained-bert-20: 0.9558
prius: pretrained-bert-rand1: 0.9982, pretrained-bert-rand2: 0.9982, pretrained-bert-rand3: 0.9970, finetuned-bert: 0.8861, pretrained-bert-20: 0.9559
sub: pretrained-bert-rand1: 0.9961, pretrained-bert-rand2: 0.9973, pretrained-bert-rand3: 0.9979, finetuned-bert: 0.9049, pretrained-bert-20: 0.9560
episcopi: pretrained-bert-rand1: 0.9980, pretrained-bert-rand2: 0.9989, pretrained-bert-rand3: 0.9975, finetuned-bert: 0.9482, pretrained-bert-20: 0.9565
salute: pretrained-bert-rand1: 0.9994, pretrained-bert-rand2: 0.9978, pretrained-bert-rand3: 0.9987, finetuned-bert: 0.9634, pretrained-bert-20: 0.9565
unam: pretrained-bert-rand1: 0.9986, pretrained-bert-rand2: 0.9976, pretrained-bert-rand3: 0.9986, finetuned-bert: 0.9559, pretrained-bert-20: 0.9566
habeant: pretrained-bert-rand1: 0.9988, pretrained-bert-rand2: 0.9990, pretrained-bert-rand3: 0.9984, finetuned-bert: 0.9532, pretrained-bert-20: 0.9568
prati: pretrained-bert-rand1: 0.9905, pretrained-bert-rand2: 0.9897, pretrained-bert-rand3: 0.9871, finetuned-bert: 0.9788, pretrained-bert-20: 0.9568
ista: pretrained-bert-rand1: 0.9965, pretrained-bert-rand2: 0.9941, pretrained-bert-rand3: 0.9959, finetuned-bert: 0.9496, pretrained-bert-20: 0.9574
patris: pretrained-bert-rand1: 0.9976, pretrained-bert-rand2: 0.9991, pretrained-bert-rand3: 0.9983, finetuned-bert: 0.9489, pretrained-bert-20: 0.9574
domini: pretrained-bert-rand1: 0.9998, pretrained-bert-rand2: 0.9997, pretrained-bert-rand3: 0.9996, finetuned-bert: 0.9100, pretrained-bert-20: 0.9577
dum: pretrained-bert-rand1: 0.9931, pretrained-bert-rand2: 0.9964, pretrained-bert-rand3: 0.9967, finetuned-bert: 0.9443, pretrained-bert-20: 0.9578
sine: pretrained-bert-rand1: 0.9992, pretrained-bert-rand2: 0.9992, pretrained-bert-rand3: 0.9989, finetuned-bert: 0.9436, pretrained-bert-20: 0.9579
sanctum: pretrained-bert-rand1: 0.9923, pretrained-bert-rand2: 0.9944, pretrained-bert-rand3: 0.9925, finetuned-bert: 0.9315, pretrained-bert-20: 0.9580
donationis: pretrained-bert-rand1: 0.9954, pretrained-bert-rand2: 0.9962, pretrained-bert-rand3: 0.9954, finetuned-bert: 0.9568, pretrained-bert-20: 0.9580
secundum: pretrained-bert-rand1: 0.9957, pretrained-bert-rand2: 0.9982, pretrained-bert-rand3: 0.9958, finetuned-bert: 0.9499, pretrained-bert-20: 0.9582
autem: pretrained-bert-rand1: 0.9997, pretrained-bert-rand2: 0.9997, pretrained-bert-rand3: 0.9993, finetuned-bert: 0.9445, pretrained-bert-20: 0.9582
ita: pretrained-bert-rand1: 0.9994, pretrained-bert-rand2: 0.9996, pretrained-bert-rand3: 0.9995, finetuned-bert: 0.9385, pretrained-bert-20: 0.9586
hominum: pretrained-bert-rand1: 0.9973, pretrained-bert-rand2: 0.9980, pretrained-bert-rand3: 0.9969, finetuned-bert: 0.9214, pretrained-bert-20: 0.9588
nunc: pretrained-bert-rand1: 0.9975, pretrained-bert-rand2: 0.9970, pretrained-bert-rand3: 0.9963, finetuned-bert: 0.9378, pretrained-bert-20: 0.9588
deinceps: pretrained-bert-rand1: 0.9934, pretrained-bert-rand2: 0.9927, pretrained-bert-rand3: 0.9935, finetuned-bert: 0.9386, pretrained-bert-20: 0.9589
meorum: pretrained-bert-rand1: 0.9995, pretrained-bert-rand2: 0.9993, pretrained-bert-rand3: 0.9995, finetuned-bert: 0.9397, pretrained-bert-20: 0.9590
concedo: pretrained-bert-rand1: 0.9991, pretrained-bert-rand2: 0.9993, pretrained-bert-rand3: 0.9991, finetuned-bert: 0.9467, pretrained-bert-20: 0.9590
do: pretrained-bert-rand1: 0.9938, pretrained-bert-rand2: 0.9943, pretrained-bert-rand3: 0.9869, finetuned-bert: 0.9437, pretrained-bert-20: 0.9592
xxx: pretrained-bert-rand1: 0.9968, pretrained-bert-rand2: 0.9970, pretrained-bert-rand3: 0.9980, finetuned-bert: 0.9282, pretrained-bert-20: 0.9596
seu: pretrained-bert-rand1: 0.9967, pretrained-bert-rand2: 0.9981, pretrained-bert-rand3: 0.9975, finetuned-bert: 0.9554, pretrained-bert-20: 0.9596
tempore: pretrained-bert-rand1: 0.9990, pretrained-bert-rand2: 0.9988, pretrained-bert-rand3: 0.9992, finetuned-bert: 0.9432, pretrained-bert-20: 0.9598
regem: pretrained-bert-rand1: 0.9935, pretrained-bert-rand2: 0.9938, pretrained-bert-rand3: 0.9950, finetuned-bert: 0.9348, pretrained-bert-20: 0.9603
mee: pretrained-bert-rand1: 0.9994, pretrained-bert-rand2: 0.9994, pretrained-bert-rand3: 0.9994, finetuned-bert: 0.9530, pretrained-bert-20: 0.9604
sanctorum: pretrained-bert-rand1: 0.9975, pretrained-bert-rand2: 0.9973, pretrained-bert-rand3: 0.9967, finetuned-bert: 0.9473, pretrained-bert-20: 0.9605
ubi: pretrained-bert-rand1: 0.9986, pretrained-bert-rand2: 0.9976, pretrained-bert-rand3: 0.9984, finetuned-bert: 0.9474, pretrained-bert-20: 0.9606
quo: pretrained-bert-rand1: 0.9987, pretrained-bert-rand2: 0.9986, pretrained-bert-rand3: 0.9982, finetuned-bert: 0.9607, pretrained-bert-20: 0.9607
pertinent: pretrained-bert-rand1: 0.9984, pretrained-bert-rand2: 0.9986, pretrained-bert-rand3: 0.9980, finetuned-bert: 0.9520, pretrained-bert-20: 0.9609
insuper: pretrained-bert-rand1: 0.9960, pretrained-bert-rand2: 0.9968, pretrained-bert-rand3: 0.9969, finetuned-bert: 0.9552, pretrained-bert-20: 0.9613
sint: pretrained-bert-rand1: 0.9971, pretrained-bert-rand2: 0.9980, pretrained-bert-rand3: 0.9981, finetuned-bert: 0.9417, pretrained-bert-20: 0.9613
subscripsi: pretrained-bert-rand1: 0.9986, pretrained-bert-rand2: 0.9955, pretrained-bert-rand3: 0.9986, finetuned-bert: 0.9552, pretrained-bert-20: 0.9613
manu: pretrained-bert-rand1: 0.9963, pretrained-bert-rand2: 0.9979, pretrained-bert-rand3: 0.9979, finetuned-bert: 0.9296, pretrained-bert-20: 0.9614
enim: pretrained-bert-rand1: 0.9948, pretrained-bert-rand2: 0.9950, pretrained-bert-rand3: 0.9970, finetuned-bert: 0.9571, pretrained-bert-20: 0.9620
item: pretrained-bert-rand1: 0.9953, pretrained-bert-rand2: 0.9950, pretrained-bert-rand3: 0.9935, finetuned-bert: 0.9634, pretrained-bert-20: 0.9622
cui: pretrained-bert-rand1: 0.9979, pretrained-bert-rand2: 0.9977, pretrained-bert-rand3: 0.9944, finetuned-bert: 0.9346, pretrained-bert-20: 0.9623
ea: pretrained-bert-rand1: 0.9986, pretrained-bert-rand2: 0.9993, pretrained-bert-rand3: 0.9992, finetuned-bert: 0.9570, pretrained-bert-20: 0.9625
testes: pretrained-bert-rand1: 0.9983, pretrained-bert-rand2: 0.9983, pretrained-bert-rand3: 0.9980, finetuned-bert: 0.9505, pretrained-bert-20: 0.9626
rege: pretrained-bert-rand1: 0.9980, pretrained-bert-rand2: 0.9972, pretrained-bert-rand3: 0.9977, finetuned-bert: 0.9287, pretrained-bert-20: 0.9626
consilio: pretrained-bert-rand1: 0.9986, pretrained-bert-rand2: 0.9983, pretrained-bert-rand3: 0.9983, finetuned-bert: 0.9576, pretrained-bert-20: 0.9626
aliqua: pretrained-bert-rand1: 0.9970, pretrained-bert-rand2: 0.9982, pretrained-bert-rand3: 0.9927, finetuned-bert: 0.9533, pretrained-bert-20: 0.9627
propria: pretrained-bert-rand1: 0.9906, pretrained-bert-rand2: 0.9951, pretrained-bert-rand3: 0.9967, finetuned-bert: 0.9377, pretrained-bert-20: 0.9628
quicquid: pretrained-bert-rand1: 0.9978, pretrained-bert-rand2: 0.9976, pretrained-bert-rand3: 0.9978, finetuned-bert: 0.9469, pretrained-bert-20: 0.9630
